present_time Collisions Collision_rate
963.000000 676 0.701973
964.000000 677 0.702282
965.000000 678 0.702591
966.000000 678 0.701863
967.000000 678 0.701138
968.000000 678 0.700413
969.000000 679 0.700722
970.000000 679 0.7
971.000000 679 0.699279
972.000000 679 0.69856
973.000000 679 0.697842
974.000000 680 0.698152
975.000000 681 0.698462
976.000000 682 0.69877
977.000000 683 0.699079
978.000000 683 0.698364
979.000000 683 0.697651
980.000000 683 0.696939
981.000000 684 0.697248
982.000000 685 0.697556
983.000000 686 0.697864
984.000000 686 0.697154
985.000000 687 0.697462
986.000000 688 0.697769
987.000000 689 0.698075
988.000000 690 0.698381
989.000000 691 0.698686
990.000000 692 0.69899
991.000000 692 0.698285
992.000000 692 0.697581
993.000000 693 0.697885
994.000000 694 0.698189
995.000000 695 0.698492
996.000000 697 0.699799
997.000000 698 0.7001
998.000000 698 0.699399
999.000000 700 0.700701
1000.000000 702 0.702
