present_time MissedSells MissedSells_rate
77.756061 12 0.170291
77.785768 12 0.170291
77.800000 12 0.170291
77.828704 12 0.170291
77.840137 12 0.170291
77.841178 12 0.170291
77.844048 12 0.170291
77.856061 12 0.170291
77.885768 12 0.170291
77.928704 12 0.170291
77.941178 12 0.170291
77.944048 12 0.170291
77.956061 12 0.170291
77.985768 12 0.170291
78.000000 12 0.170291
78.028704 12 0.170291
78.040137 12 0.170291
78.041178 12 0.170291
78.044048 12 0.170291
78.056061 12 0.170291
78.085768 12 0.170291
78.128704 12 0.170291
78.141178 12 0.170291
78.144048 12 0.170291
78.156061 12 0.170291
78.185768 12 0.170291
78.200000 12 0.170291
78.228704 12 0.170291
78.241178 12 0.170291
78.244048 12 0.170291
78.256061 12 0.170291
78.285768 12 0.170291
78.328704 12 0.170291
78.341178 12 0.170291
78.344048 12 0.170291
78.356061 12 0.170291
78.385768 12 0.170291
78.400000 12 0.170291
78.428704 12 0.170291
78.441178 12 0.170291
78.444048 12 0.170291
78.456061 12 0.170291
78.485768 12 0.170291
78.528704 12 0.170291
78.541178 12 0.170291
78.544048 12 0.170291
78.556061 12 0.170291
78.585768 12 0.170291
78.600000 12 0.170291
78.628704 12 0.170291
78.641178 12 0.170291
78.644048 12 0.170291
78.656061 12 0.170291
78.685768 12 0.170291
78.728704 12 0.170291
78.741178 12 0.170291
78.744048 12 0.170291
78.756061 12 0.170291
78.785768 12 0.170291
78.800000 12 0.170291
78.828704 12 0.170291
78.841178 12 0.170291
78.844048 12 0.170291
78.856061 12 0.170291
78.885768 12 0.170291
78.928704 12 0.170291
78.941178 12 0.170291
78.944048 12 0.170291
78.956061 12 0.170291
78.985768 12 0.170291
79.000000 12 0.170291
79.028704 12 0.170291
79.041178 12 0.170291
79.044048 12 0.170291
79.056061 12 0.170291
79.085768 12 0.170291
79.128704 12 0.170291
79.141178 12 0.170291
79.144048 12 0.170291
79.156061 12 0.170291
79.185768 12 0.170291
79.200000 12 0.170291
79.228704 12 0.170291
79.241178 12 0.170291
79.244048 12 0.170291
79.256061 12 0.170291
79.285768 12 0.170291
79.328704 12 0.170291
79.341178 12 0.170291
